2023-05-02 11:03:18.3676|INFO|Info
2023-05-02 11:03:18.3845|INFO|AltTester logs are saved at: ./AltTester.log
02/05/2023 11:03:20|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:22|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:24|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:26|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:29|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:31|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:33|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:35|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:37|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:39|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:41|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:43|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:46|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:48|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:50|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:52|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:54|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:56|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:03:58|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:04:01|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:04:03|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:04:05|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:04:07|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:04:09|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:04:11|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:04:13|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:04:16|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:04:18|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
02/05/2023 11:04:20|Fatal|WebSocket.connect|No connection could be made because the target machine actively refused it. 127.0.0.1:13000
